source,target,weight,direction,sourceAltId,targetAltId,id
ADH1A,DGAT2,0.1524,undirected,NA,NA,ADH1A-DGAT2
ADH1A,LGALS12,0.1658,undirected,NA,NA,ADH1A-LGALS12
ADH1A,CHRDL1,0.162,undirected,NA,NA,ADH1A-CHRDL1
ADH1A,HSPB6,0.1909,undirected,NA,NA,ADH1A-HSPB6
ADH1A,TMEM37,0.1134,undirected,NA,NA,ADH1A-TMEM37
ADH1A,CIDECP,0.2049,undirected,NA,NA,ADH1A-CIDECP
ADH1A,LVRN,0.1957,undirected,NA,NA,ADH1A-LVRN
ADH1A,HEPACAM,0.1777,undirected,NA,NA,ADH1A-HEPACAM
ADH1A,EBF3,0.101,undirected,NA,NA,ADH1A-EBF3
ADH1A,TUSC5,0.218,undirected,NA,NA,ADH1A-TUSC5
ADH1A,AQP7P1,0.243,undirected,NA,NA,ADH1A-AQP7P1
ADH1A,C14orf180,0.2198,undirected,NA,NA,ADH1A-C14orf180
ADH1C,AQP1,0.1095,undirected,NA,NA,ADH1C-AQP1
ADH1C,CAV1,0.1443,undirected,NA,NA,ADH1C-CAV1
ADH1C,EBF1,0.1153,undirected,NA,NA,ADH1C-EBF1
ADH1C,FHL1,0.1351,undirected,NA,NA,ADH1C-FHL1
ADH1C,GPX3,0.1082,undirected,NA,NA,ADH1C-GPX3
ADH1C,MEOX1,0.105,undirected,NA,NA,ADH1C-MEOX1
ADH1C,PLIN1,0.106,undirected,NA,NA,ADH1C-PLIN1
ADH1C,TEK,0.1,undirected,NA,NA,ADH1C-TEK
ADH1C,TGFBR2,0.1121,undirected,NA,NA,ADH1C-TGFBR2
ADH1C,CLDN5,0.1256,undirected,NA,NA,ADH1C-CLDN5
ADH1C,SDPR,0.1133,undirected,NA,NA,ADH1C-SDPR
ADH1C,LDB2,0.124,undirected,NA,NA,ADH1C-LDB2
ADH1C,ABCA8,0.1155,undirected,NA,NA,ADH1C-ABCA8
ADH1C,JAM2,0.107,undirected,NA,NA,ADH1C-JAM2
ADH1C,LINC00341,0.1199,undirected,NA,NA,ADH1C-LINC00341
ADH1C,SVEP1,0.111,undirected,NA,NA,ADH1C-SVEP1
ADH1C,HSPB6,0.1372,undirected,NA,NA,ADH1C-HSPB6
ADRA2A,CAV1,0.1279,undirected,NA,NA,ADRA2A-CAV1
ADRA2A,FHL1,0.1056,undirected,NA,NA,ADRA2A-FHL1
AEBP1,NKX3-2,0.1279,undirected,NA,NA,AEBP1-NKX3-2
AEBP1,BGN,0.1508,undirected,NA,NA,AEBP1-BGN
AEBP1,BMP1,0.1178,undirected,NA,NA,AEBP1-BMP1
AEBP1,RUNX2,0.1191,undirected,NA,NA,AEBP1-RUNX2
AEBP1,CDH11,0.1569,undirected,NA,NA,AEBP1-CDH11
AEBP1,COL1A1,0.1746,undirected,NA,NA,AEBP1-COL1A1
AEBP1,COL1A2,0.187,undirected,NA,NA,AEBP1-COL1A2
AEBP1,COL3A1,0.1807,undirected,NA,NA,AEBP1-COL3A1
AEBP1,COL5A1,0.1842,undirected,NA,NA,AEBP1-COL5A1
AEBP1,COL5A2,0.1813,undirected,NA,NA,AEBP1-COL5A2
AEBP1,COL6A1,0.1679,undirected,NA,NA,AEBP1-COL6A1
AEBP1,COL6A2,0.158,undirected,NA,NA,AEBP1-COL6A2
AEBP1,COL6A3,0.1745,undirected,NA,NA,AEBP1-COL6A3
